"at_uri","AuthorDID","CID","CreatedDate","ReplyParent","ReplyRoot","SearchText"
"at://did:plc:x4hhl3usve4zvhgqo2zehmn7/app.bsky.feed.post/3lhargzrimd2g","did:plc:x4hhl3usve4zvhgqo2zehmn7","bafyreidt2j6lyavxvdhqcmwlb6a3gxftbmn7ecyob7hyehkueqny353jyy","2025-02-03T05:06:12.912327Z","null","null","""andreas deuchert, phan thanh nam, marcin napiorkowski\na note on spontaneous symmetry breaking in the mean-field bose gas\nhttps://arxiv.org/abs/2501.19402        """
"at://did:plc:oiovdcbwmhxgujsi6goguoar/app.bsky.feed.post/3ld4x3zoqhs2x","did:plc:oiovdcbwmhxgujsi6goguoar","bafyreibgujmovjeoe6c3ijdy4hp4fyqujjxuge4s4pra6pf55jic6cixii","2024-12-12T18:56:01.730Z","null","null",""
"at://did:plc:yoarc32zf3uiwtpli6acmohc/app.bsky.feed.post/3lho4yt4ezc2u","did:plc:yoarc32zf3uiwtpli6acmohc","bafyreiazgy3uyc5qoww3cipr3xgkdmw4slh2bl2u7gexplrln3skrm76ny","2025-02-08T12:37:36.733Z","at://did:plc:yoarc32zf3uiwtpli6acmohc/app.bsky.feed.post/3lho4yranv22u","at://did:plc:yoarc32zf3uiwtpli6acmohc/app.bsky.feed.post/3lho4yranv22u","""#考古学のおやつ 2/2\n▶ leonardo garcía sanjuán 𝑒𝑡 𝑎𝑙. (2025) a multi-analytical study of the montelirio beaded attires: marine resources, sumptuary crafts, and female power in copper age iberia. 𝑆𝑐𝑖𝑒𝑛𝑐𝑒 𝐴𝑑𝑣𝑎𝑛𝑐𝑒𝑠, vol 11, issue 5.\n[science advances]\ndoi.org/10.1126/scia... https://doi.org/10.1126/sciadv.adp1917 a multi-analytical study of the montelirio beaded attires: marine resources, sumptuary crafts, and female power in copper age iberia beaded attires made ~2800 bc with ~270,000 shell beads were worn by a select group of prominent women.     """
"at://did:plc:nzlt4cxdaltj3hyviipywiz6/app.bsky.feed.post/3liln5nh2by2e","did:plc:nzlt4cxdaltj3hyviipywiz6","bafyreidmalvokdu642igjpms455deju3z7dzbdmcnjxvxlywd5cmbvxu2a","2025-02-20T06:13:52.777393+00:00","at://did:plc:nzlt4cxdaltj3hyviipywiz6/app.bsky.feed.post/3liln5nce542b","at://did:plc:nzlt4cxdaltj3hyviipywiz6/app.bsky.feed.post/3liln5nce542b","""arxiv:2502.13237v1 announce type: new \nabstract: in this study, we investigate the magnification and angular resolution of a single water droplet positioned on a glass surface, functioning as an optical imaging system. [1/4 of https://arxiv.org/abs/2502.13237v1]        """
"at://did:plc:2tfe3ohmyqmryc7fsgxxfsoc/app.bsky.feed.post/3lglo7dbh6s2k","did:plc:2tfe3ohmyqmryc7fsgxxfsoc","bafyreida6lgpio2a4neqk5pgf6wltmhe2ryaox3cjl3yiy4blfw2x5k5xe","2025-01-25T19:42:19.728Z","null","null","""jack's final report on the #felon who is not stolen\the potus again...\nwww.washingtonpost.com/documents/6f...\nbetter get it before, its removed... https://www.washingtonpost.com/documents/6f4df207-e97f-4cd7-9a21-9aed8804a530.pdf?itid=lk_inline_manual_2       """
"at://did:plc:pxokkpd3cyvbwgdwampv3soq/app.bsky.feed.post/3lfeq4ww3pk23","did:plc:pxokkpd3cyvbwgdwampv3soq","bafyreigusrpft3yf5jjild2q6amhrzn2ed7gn2ezl3i4q2udmiw7p3pupm","2025-01-10T08:02:57.229414+00:00","null","null","""🔄 updated arxiv paper\n\ntitle: a matheuristic approach for an integrated lot-sizing and scheduling problem with a period-based learning effect\nauthors: mohammad rohaninejad, behdin vahedi-nouri, reza tavakkoli-moghaddam, zden\v{e}k hanz\'alek\n\nread more: https://arxiv.org/abs/2412.16222       """
"at://did:plc:gpwxmmyy5swpdglde55nebig/app.bsky.feed.post/3ldbw3unt222b","did:plc:gpwxmmyy5swpdglde55nebig","bafyreidwxz7cypj2rr32ruluotdzvydsklhhtmgavtah3xs7wbrmaugyoi","2024-12-14T18:21:21.406Z","null","null",""
"at://did:plc:myydq2cuau3s4vzatikqtwmd/app.bsky.feed.post/3lhysacjm7k2x","did:plc:myydq2cuau3s4vzatikqtwmd","bafyreib62azoysbicdnvgzv2opnaqwlgquoj7wr4cuqaa3m5owpp2mdi24","2025-02-12T18:24:15.694Z","at://did:plc:rxy5svxlshavsj6ojqds2qna/app.bsky.feed.post/3lhyrjcsbik2n","at://did:plc:myydq2cuau3s4vzatikqtwmd/app.bsky.feed.post/3lhymajipsk2x","""mostly it's manual tikz in a text editor. for the book we use lhs2tex and some text inclusion tricks combined with parameterized tikz diagrams to get a moderate amount of code reuse.\n\nsome of our approach to the tikz is written up here\n\nstringdiagram.com/wp-content/u... https://stringdiagram.com/wp-content/uploads/2023/11/howtodrawv0.4.pdf       """
"at://did:plc:igqxxdun347dblo3n7xwq6ur/app.bsky.feed.post/3lgcwhdsxbo2h","did:plc:igqxxdun347dblo3n7xwq6ur","bafyreibsoexqduuumaqe2hh5se7l7wdqjkfgbqq7v3j3hpjvgww46tpnla","2025-01-22T08:16:00.232341Z","null","null","""frank ernesto quintela rodriguez, piero lafiosca, tommaso giovannini, chiara cappelli\nquantum dynamics of dissipative polarizable media\nhttps://arxiv.org/abs/2501.12070       """
"at://did:plc:6kndbdnawzpis5y33gpacfop/app.bsky.feed.post/3liy7qey5fk25","did:plc:6kndbdnawzpis5y33gpacfop","bafyreiem7dlq3gamcxgtqryktsy4afguv3to4nwqzu6f55pg5q6f6yeiou","2025-02-25T06:18:25.624080+00:00","at://did:plc:6kndbdnawzpis5y33gpacfop/app.bsky.feed.post/3liy7pxlpgs25","at://did:plc:6kndbdnawzpis5y33gpacfop/app.bsky.feed.post/3liy7pxlpgs25","""arxiv:2502.16357v1 announce type: new \nabstract: the recent application of llms to the legal field has spurred the creation of benchmarks across various jurisdictions and languages. however, no benchmark has yet been [1/7 of https://arxiv.org/abs/2502.16357v1]        """
"at://did:plc:hxncmsbjayftx2xncvs4xg54/app.bsky.feed.post/3lfmnse33p52e","did:plc:hxncmsbjayftx2xncvs4xg54","bafyreifs7ifctsy2k4jufafsqxgr3nm3aozwizps6cpqv2p3bvmtbjmgbu","2025-01-13T11:42:31.801Z","null","null","""enhancing contrastive learning for retinal imaging via adjusted augmentation scales\ncontrastive learning in medical imaging optimized with weak augmentation improves model performance.\nread more: https://arxiv.org/html/2501.02451v1       """
"at://did:plc:3zyo4iakhqs47bttjalqgbk7/app.bsky.feed.post/3ligzqv7xtk2o","did:plc:3zyo4iakhqs47bttjalqgbk7","bafyreiaci7shhf34c6tmybkyzdteznseijl7654cloz2zbmc76bp3giznu","2025-02-18T10:16:04.702Z","null","null","""great to see so much @eu-wish.bsky.social activity underway. for anyone interested in wastewater based epi/surveillance:\n\nwww.eu-wish.eu/fileadmin/fi...\n\ncc @wimgmeijer.bsky.social https://www.eu-wish.eu/fileadmin/files/images/newsletter/february2025_eu-wish_newsletter.pdf       """
"at://did:plc:l5ciolzvcxxojs6w5k6pusia/app.bsky.feed.post/3lciwa6lw7k2d","did:plc:l5ciolzvcxxojs6w5k6pusia","bafyreif2byegvw5ba3h65snshqfy5hlne4bqcvkfa4d6jz7imxgixq7c2q","2024-12-04T19:47:12.591Z","null","null",""
"at://did:plc:3qz6jbn5edbopwoi3xje4yqd/app.bsky.feed.post/3lhkveolbxk2h","did:plc:3qz6jbn5edbopwoi3xje4yqd","bafyreievk66dol4k2urneicxdflqr5myyxs4griux36fvl4nt2txifvvfi","2025-02-07T05:43:07.439Z","at://did:plc:3qz6jbn5edbopwoi3xje4yqd/app.bsky.feed.post/3lhkv7ayg422h","at://did:plc:3qz6jbn5edbopwoi3xje4yqd/app.bsky.feed.post/3lhkugfqttk2h","""here's a direct link to the paper... mortgage loan required...\n\ngo taylor & francis group (to hell). \nsorry - end of rant.... \n\nwww.tandfonline.com/doi/full/10.... https://www.tandfonline.com/doi/full/10.1080/07481187.2025.2452490 community knowledge of voluntary assisted dying: a cross-sectional survey of the public in queensland, australia this research, undertaken in queensland, australia aimed to explore community members’ knowledge of voluntary assisted dying (vad) 17 months after it became a lawful option. adults living in queens...     """
"at://did:plc:jf3oraummcsfodflx5w5pouf/app.bsky.feed.post/3lcz5pgtmpg2b","did:plc:jf3oraummcsfodflx5w5pouf","bafyreigx7q5emnourl4cwzjjyvy7tbjfuwvlbaqedqoizje5ta6e3qq57y","2024-12-11T06:43:35.830438Z","null","null",""
"at://did:plc:r6vxoxui7wt3ug57qh2ctn37/app.bsky.feed.post/3lgeurs3xxrm2","did:plc:r6vxoxui7wt3ug57qh2ctn37","bafyreidej4s65icmmqahw5rizgssoti6xtkujxamy77w4qsrtaftq4rndu","2025-01-23T02:51:16.000Z","null","null","""nih immediate and indefinite suspension of all travel https://www.science.org/do/10.1126/science.z7pm10i/full/travelban-1737591296147.pdf        """
"at://did:plc:w24dzvuxcwuiyojyqg3niarr/app.bsky.feed.post/3lio4y5xvgn2b","did:plc:w24dzvuxcwuiyojyqg3niarr","bafyreigqkott3phiwq6zgzt3udry7ax5al6yluztogujmon75patrifeoq","2025-02-21T06:02:28.141565+00:00","at://did:plc:w24dzvuxcwuiyojyqg3niarr/app.bsky.feed.post/3lio4y4zdyk2v","at://did:plc:w24dzvuxcwuiyojyqg3niarr/app.bsky.feed.post/3lio4xxcahx24","""that shows that if $u_0$ and $u_1=u(s=1)$ have both small support then $u=0$. for the second result, we add some potential to the equation and we obtain a dynamical version of the paley-wiener theorem in the spirit of the [3/4 of https://arxiv.org/abs/2502.14411v1]        """
"at://did:plc:bh5yzn5toxlv3pj3jfvneh4f/app.bsky.feed.post/3lh5qk2hgqs2h","did:plc:bh5yzn5toxlv3pj3jfvneh4f","bafyreicqxohvmwfysliytfhrd34btnbawcmpufyh3qxb65pcy7q7u4775i","2025-02-02T00:12:02.358Z","null","null","""colonial saratoga. war and peace on the borderlands of early america, 189 pages, 2018 https://www.npshistory.com/publications/sara/hrs-borderlands.pdf       """
"at://did:plc:vmi3cchmz7g6nzigumuraq4s/app.bsky.feed.post/3limbf4xcsf22","did:plc:vmi3cchmz7g6nzigumuraq4s","bafyreignh4poe55623brkgjarkbiwovik6x2c3nb4qmhdr6pa7avx6yuxu","2025-02-20T12:15:56.000Z","null","null","""milky way galaxy’s bulge could have planetary systems, too\nhttps://www.sci.news/astronomy/milky-way-bulge-planets-10011.html https://www.sci.news/astronomy/milky-way-bulge-planets-10011.html  <p><strong>the milky way’s <a href=""""https://en.wikipedia.org/wiki/galactic_bulge"""" target=""""_blank"""">bulge</a> is the <a href=""""https://www.sci.news/astronomy/milky-ways-central-bulge-stars-09019.html"""" target=""""_blank"""">ancient and crowded central hub</a> of our galaxy. it <a href=""""https://doi.org/10.1017/s1743921310000736"""" target=""""_blank"""">contains</a> about one quarter of the total stellar mass of the milky way and has a very different stellar environment from the solar neighborhood, including stellar densities over 10 times higher and an older stellar population.</strong></p>\n<div class=""""wp-caption aligncenter"""" id=""""attachment_53440"""" style=""""width: 590px""""><img alt=""""an artist’s conception of exoplanets in a dense stellar environment. image credit: michael bachofner."""" aria-describedby=""""caption-attachment-53440"""" class=""""size-full wp-image-53440"""" height=""""712"""" sizes=""""(max-width: 580px) 100vw, 580px"""" src=""""https://cdn.sci.news/images/2018/08/image_6301-star-cluster-exoplanets.jpg"""" srcset=""""https://cdn.sci.news/images/2018/08/image_6301-star-cluster-exoplanets.jpg 580w, https://cdn.sci.news/images/2018/08/image_6301-star-cluster-exoplanets-244x300.jpg 244w"""" width=""""580""""/><p class=""""wp-caption-text"""" id=""""caption-attachment-53440"""">an artist’s conception of exoplanets in a dense stellar environment. image credit: michael bachofner.</p></div>\n<p>“although more than 3,000 planetary systems have been discovered to date, most reside at distances over 1,000 parsecs (3,262 light-years) from the sun,” said lead author dr. naoki koshimoto and colleagues from nasa’s goddard space flight center, osaka university, the university of maryland, and massey university.</p>\n<p>“in this regard, <a href=""""https://svs.gsfc.nasa.gov/20242"""" target=""""_blank"""">gravitational microlensing</a> is a unique technique because it is sensitive to planetary systems over a wide range of distances in our galaxy, from the galactic disk to the galactic bulge.”</p>\n<p>“microlensing is currently the only technique capable of investigating the galactic distribution of planets.”</p>\n<p>“however, no study measuring the distribution has yet been reported, mainly owing to the difficulty in distance measurement.”</p>\n<p>using a combination of gravitational microlensing observations and modeling, the astronomers determined how the planet-hosting probability varies with the distance from the galactic center.</p>\n<p>“we considered the distribution of a quantity that describes the relative motion of the gravitational lens and distant light source in planetary microlensing,” they said.</p>\n<p>“by comparing the distribution observed in microlensing events with that predicted by a galactic model, we could infer the galactic distribution of planets.”</p>\n<p>their results show that the dependence of the planet frequency on the galactocentric distance is not large, and suggest that the milky way’s bulge does have planets.</p>\n<p>“stars in the bulge region are older and are located much closer to each other than stars in the solar neighborhood,” dr. koshimoto said.</p>\n<p>“our finding that planets reside in both these stellar environments could lead to an improved understanding of how planets form and the history of planet formation in the milky way.”</p>\n<p>the <a href=""""https://iopscience.iop.org/article/10.3847/2041-8213/ac17ec"""" target=""""_blank"""">study</a> was published in the <em>astrophysical journal letters</em>.</p>\n<p><span style=""""color: #808080;"""">_____</span></p>\n<p><span style=""""color: #808080;"""">naoki koshimoto <em>et al</em>. 2021. no large dependence of planet frequency on galactocentric distance. <em>apjl</em> 918, l8; doi: 10.3847/2041-8213/ac17ec</span></p>     """
"at://did:plc:w74x6ulj2wetavncixobgjin/app.bsky.feed.post/3lepjf47dmq25","did:plc:w74x6ulj2wetavncixobgjin","bafyreifjfdibui5xfrk5pxmrymppyr6ckae22h3bzswrkblpvzu62klywu","2025-01-01T21:36:20.628Z","at://did:plc:aqgw2qsdfbcytczlrf26j2mf/app.bsky.feed.post/3lemwp6jgmk2s","at://did:plc:7nguzszlvpdpdmtc47zp22ur/app.bsky.feed.post/3lemwgi7wzs26",""
"at://did:plc:ltcb3xvqhbgteuq7flui3dqn/app.bsky.feed.post/3lilmussoif2k","did:plc:ltcb3xvqhbgteuq7flui3dqn","bafyreif73pnqlnpm54q3xzn5hg3zviyeqaaecjg327klqofxmhx6vpg4z4","2025-02-20T06:08:56.410201+00:00","at://did:plc:ltcb3xvqhbgteuq7flui3dqn/app.bsky.feed.post/3lilmuru5wf2k","at://did:plc:ltcb3xvqhbgteuq7flui3dqn/app.bsky.feed.post/3lilmupx7q52k","""formalism. some comparisons between gem theory and qed have been developed. the limits of high temperature have been analyzed. [3/3 of https://arxiv.org/abs/2502.13152v1]        """
"at://did:plc:75twndbxrl77tkgtuneqlhhr/app.bsky.feed.post/3lgzpvbwwek26","did:plc:75twndbxrl77tkgtuneqlhhr","bafyreibvl7bgrkdkggvqhh4dze2g3izlxrjh7dj36u2xstjw2p7yrf33lm","2025-01-31T09:49:46.610Z","null","null","""a new preprint is out! 🚨 we show that trace metal availability directly controls microbial metabolism, forcing cells to shift to less efficient energy pathways—even when better electron acceptors are available! ⚡🔬1/6\nwww.biorxiv.org/content/10.1... @biorxiv-microbiol.bsky.social https://www.biorxiv.org/content/10.1101/2025.01.08.631794v2 trace metals availability controls terminal electron acceptor utilization in escherichia coli trace metals play an essential role in the metabolism of all living organisms and many metal-containing enzymes contribute to key physiological and ecological processes such as aerobic and anaerobic r...     """
"at://did:plc:7wm742rim5dqmdirtit5tpim/app.bsky.feed.post/3lhjgxoh6n22p","did:plc:7wm742rim5dqmdirtit5tpim","bafyreicyjuyqtazqfbd2jp5ystmr5x7dngwy4iojs6t6ppatwcbk4an2me","2025-02-06T15:52:38.933Z","null","null","""what are your differential diagnoses for a 2-year-old female french bulldog that was presented for evaluation of a pronounced clitoris along with breeding management? full case: doi.org/10.2460/javm...        """
"at://did:plc:mb4h2fb32okk4ka4py3yqwli/app.bsky.feed.post/3liy6pmk2j62m","did:plc:mb4h2fb32okk4ka4py3yqwli","bafyreid443twes4xensl2ycbpcrp7gbiy6y6ykncwtudvr7vd2gqgju37q","2025-02-25T06:00:06.273100+00:00","at://did:plc:mb4h2fb32okk4ka4py3yqwli/app.bsky.feed.post/3liy6pkmwg22z","at://did:plc:mb4h2fb32okk4ka4py3yqwli/app.bsky.feed.post/3liy6pdx6ve2g","""paths compared to baseline methods. we validate our planner on two distinct hardware platforms: a hexarotor uav and a fixed-wing uav, each having unique motion models and configuration spaces. our results show up to a 41% [5/6 of https://arxiv.org/abs/2502.15961v1]        """
"at://did:plc:jf3oraummcsfodflx5w5pouf/app.bsky.feed.post/3ld6duihkhj2n","did:plc:jf3oraummcsfodflx5w5pouf","bafyreidjnzcdqqxl3g65b6b7arrk67zbktce3cpczqxy4leea2macp5mcy","2024-12-13T08:17:06.207854Z","null","null",""
"at://did:plc:npdmdaf7sxhjqc5poh6tkqrr/app.bsky.feed.post/3liy7ibifze2m","did:plc:npdmdaf7sxhjqc5poh6tkqrr","bafyreiht63qntmqeblp6fjk2sagt27536fwljzmii6qwyxulirkoe5qbri","2025-02-25T06:13:53.543570+00:00","at://did:plc:npdmdaf7sxhjqc5poh6tkqrr/app.bsky.feed.post/3liy7i6mmql23","at://did:plc:npdmdaf7sxhjqc5poh6tkqrr/app.bsky.feed.post/3liy7hu4u6z2x","""temperley trick, totally non-negative matrices, effective resistances. [4/4 of https://arxiv.org/abs/2502.16710v1]        """
"at://did:plc:tngqpoay4binfjr5zyymgm3e/app.bsky.feed.post/3lio4mmsxqg2v","did:plc:tngqpoay4binfjr5zyymgm3e","bafyreiccvterdvyv33tn5vfazxmquqjp7mgnvzexpmr33kabx6i36jl6ya","2025-02-21T05:56:01.038970+00:00","at://did:plc:tngqpoay4binfjr5zyymgm3e/app.bsky.feed.post/3lio4mlugpl2o","at://did:plc:tngqpoay4binfjr5zyymgm3e/app.bsky.feed.post/3lio4mi2g5l2z","""np-complete in both the strict and non-strict setting. we additionally provide a set of restrictions in the non-strict setting which makes the problem solvable in polynomial time and design an algorithm achieving this [4/6 of https://arxiv.org/abs/2502.14540v1]        """
"at://did:plc:7l5f4koletma7szytmxjdme3/app.bsky.feed.post/3lgx6cgt5wq2c","did:plc:7l5f4koletma7szytmxjdme3","bafyreigfhpqqxjzktlbuwawywcyxieuyjacgnwe3ilrd53trzg2shojuui","2025-01-30T09:29:35.138185Z","null","null","""new paper by @darwinnernz.bsky.social @timcurran.bsky.social in ecology letters using @gbif.org mediated data: \n\nleaf dry matter content is phylogenetically conserved and related to environmental conditions, especially wildfire activity\n\n #citethedoi: ❌\n\n https://doi.org/10.1111/ele.70056 https://doi.org/10.1111/ele.70056 leaf dry matter content is phylogenetically conserved and related to environmental conditions, especially wildfire activity ldmc varied across growth forms and taxonomic groups, and displayed phylogenetic niche conservatism. temperature, precipitation and soil total nitrogen content affected ldmc, but their effects were m...     """
"at://did:plc:ykawcawwjntyuqyv5mmlnn2s/app.bsky.feed.post/3lijsbxsbrc2g","did:plc:ykawcawwjntyuqyv5mmlnn2s","bafyreihedkvny2uiwy6cj6rsgog4ppw5453r22i3eglidlqtfaroxhq2me","2025-02-19T12:40:27.105Z","null","null","""¿sabías que con información precisa y formación se puede reducir su consumo energético a la mitad? 💡 un estudio del mit en ámsterdam lo demostró, logrando que el 75% de los hogares salieran de la pobreza energética. 🌍 #energíasostenible #pobrezaenergética #ecooo www.nature.com/articles/s41... https://www.nature.com/articles/s41598-024-80773-9 assessing the impact of energy coaching with smart technology interventions to alleviate energy poverty - scientific reports scientific reports - assessing the impact of energy coaching with smart technology interventions to alleviate energy poverty     """
"at://did:plc:krucpwh46vlza4minn7rarur/app.bsky.feed.post/3lifeloat2c2w","did:plc:krucpwh46vlza4minn7rarur","bafyreiee7awnevyxx4cehsw4mvwgpbjfspo5q723whk6i5rq6s6wd4wuiy","2025-02-17T18:24:41.302Z","null","null","""journal of magnetic resonance open, tutorial paper, introduction to average hamiltonian theory. ii. advanced examples, andreas brinkmann, metrology, national research council canada www.sciencedirect.com/science/arti... #nmrchat #nmr 🧲 https://www.sciencedirect.com/science/article/pii/s266644102500007x#nmrchat introduction to average hamiltonian theory. ii. advanced examples where the first part of our tutorial introduction to average hamiltonian theory (brinkmann, 2016) introduced in detail the basic concepts and demonstr…     """
"at://did:plc:32r7scd5hucgv552zjfuaigc/app.bsky.feed.post/3lgct2xmy3o2e","did:plc:32r7scd5hucgv552zjfuaigc","bafyreibdnmaopziiwc3nvfrnqkfv346fposuoht72j7ptmbmchspy6fgxy","2025-01-22T07:15:24.218762+00:00","null","null","""repository for extended dark matter object constraints. (replaced) djuna croon et. al. https://arxiv.org/abs/2407.02573       """
"at://did:plc:pfy4skqhqwhygg7tcotbpz5n/app.bsky.feed.post/3licv3byyxs2q","did:plc:pfy4skqhqwhygg7tcotbpz5n","bafyreigzr4qjr6otg7wpfazhdbu6kidzdjm4qbbj2oa7m7f24de4wjzupi","2025-02-16T18:41:45.988Z","null","null","""new: in 2003, france faced the first catastrophic heat wave of the 21st century, with >15,000 deaths. 22 years later, we show that anthropogenic climate change caused 6,000 of those deaths. that, & more insights into heat mortality and adaptation, in our new preprint: eartharxiv.org/repository/v... https://eartharxiv.org/repository/view/8573/ quantifying the contributions of climate change and adaptation to mortality from unprecedented extreme heat events      """
"at://did:plc:idw3wm76kt2liq2vixfcgsds/app.bsky.feed.post/3lgzdh24rgc23","did:plc:idw3wm76kt2liq2vixfcgsds","bafyreifni3okocewkyscrmmi454ex4urlstcflvklfhfidjot4lutawiu4","2025-01-31T06:07:03.749Z","at://did:plc:idw3wm76kt2liq2vixfcgsds/app.bsky.feed.post/3lgzdfzaz6c23","at://did:plc:idw3wm76kt2liq2vixfcgsds/app.bsky.feed.post/3lgzclcpdnk23","""www.nature.com/articles/s41... https://www.nature.com/articles/s41590-023-01724-6 long covid manifests with t cell dysregulation, inflammation and an uncoordinated adaptive immune response to sars-cov-2 - nature immunology roan et al. use olink and single‐cell rna sequencing (scrna-seq) to show a dysregulated crosstalk between the cellular and humoral immune responses in individuals with long covid 8 months postinfectio...     """
